id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3131928,2,2016-01-05 20:50:39,2016-01-05 20:55:38,2,-73.98,40.74,-73.97500000000001,40.730000000000004,N,299
id1696276,1,2016-01-05 18:59:47,2016-01-05 19:10:29,3,-73.97,40.76,-73.955,40.775,N,642
id2947100,2,2016-01-05 18:11:50,2016-01-05 18:22:15,1,-74.01,40.705,-73.97500000000001,40.735,N,625
id0329362,1,2016-01-05 19:55:58,2016-01-05 20:13:20,1,-73.97500000000001,40.75,-73.985,40.78,N,1042
id3004017,1,2016-01-05 18:24:48,2016-01-05 18:33:27,2,-73.955,40.78,-73.96000000000001,40.765,N,519
id1277236,2,2016-01-05 18:51:55,2016-01-05 19:24:59,4,-73.985,40.76,-73.96000000000001,40.72,N,1984
id2095859,1,2016-01-05 18:45:48,2016-01-05 18:51:30,1,-73.97500000000001,40.75,-73.985,40.755,N,342
id0542659,1,2016-01-05 20:31:48,2016-01-05 20:48:59,1,-73.995,40.725,-74.015,40.675000000000004,N,1031
id1736753,1,2016-01-05 20:11:02,2016-01-05 20:14:41,1,-73.985,40.76,-73.99,40.755,N,219
id1095048,1,2016-01-05 19:07:52,2016-01-05 19:12:07,1,-73.98,40.765,-73.98,40.77,N,255
id3852308,1,2016-01-05 18:45:53,2016-01-05 18:51:34,1,-74.005,40.715,-74.01,40.725,N,341
id1228619,2,2016-01-05 18:15:49,2016-01-05 18:22:45,1,-73.98,40.735,-73.97500000000001,40.745,N,416
id3984094,2,2016-01-05 18:27:45,2016-01-05 18:33:08,5,-73.98,40.755,-73.98,40.765,N,323
id3342297,2,2016-01-05 20:25:35,2016-01-05 20:33:52,6,-74.005,40.745,-74.015,40.715,N,497
id2690236,1,2016-01-05 18:16:01,2016-01-05 18:21:33,1,-74.0,40.725,-74.0,40.735,N,332
id2848204,2,2016-01-05 18:21:18,2016-01-05 18:39:04,1,-73.995,40.730000000000004,-73.98,40.775,N,1066
id1362587,2,2016-01-05 18:48:36,2016-01-05 19:00:42,1,-73.97500000000001,40.755,-73.995,40.730000000000004,N,726
id2830891,2,2016-01-05 19:15:21,2016-01-05 19:22:55,3,-73.97,40.76,-73.97500000000001,40.745,N,454
id2985250,1,2016-01-05 18:36:18,2016-01-05 18:50:16,1,-73.98,40.755,-74.0,40.745,N,838
id3423740,2,2016-01-05 19:36:57,2016-01-05 19:43:17,1,-73.99,40.74,-73.985,40.755,N,380
id2504503,2,2016-01-05 18:04:41,2016-01-05 18:20:30,1,-73.995,40.730000000000004,-74.005,40.75,N,949
id0799112,2,2016-01-05 19:59:13,2016-01-05 20:03:16,1,-73.99,40.74,-73.98,40.735,N,243
id3775103,2,2016-01-05 20:07:02,2016-01-05 20:10:44,1,-73.965,40.76,-73.955,40.765,N,222
id0998415,1,2016-01-05 18:19:12,2016-01-05 18:23:15,1,-73.985,40.77,-73.985,40.76,N,243
id0465309,2,2016-01-05 20:46:48,2016-01-05 20:51:04,2,-73.99,40.765,-73.99,40.76,N,256
id2611009,1,2016-01-05 19:08:54,2016-01-05 19:18:39,1,-73.985,40.765,-73.98,40.755,N,585
id2931402,1,2016-01-05 20:05:53,2016-01-05 20:11:21,3,-73.97500000000001,40.755,-73.965,40.77,N,328
