Dropoff Longitude,Dropoff Latitude,Pickup Longitude,Pickup Latitude,Speed,Time
-74.0,40.75,-73.985,40.745,9.659328107343386,2016-01-06 21:17:38
-73.96000000000001,40.76,-74.005,40.745,20.934958129055865,2016-01-06 22:30:58
-73.96000000000001,40.76,-73.99,40.75,11.203996781219901,2016-01-06 21:16:58
-73.96000000000001,40.76,-73.965,40.76,7.136563876645492,2016-01-06 22:59:17
-73.96000000000001,40.76,-73.955,40.785000000000004,20.52839553662891,2016-01-06 21:58:54
-74.005,40.745,-73.99,40.755,11.255579675651857,2016-01-06 21:21:03
-74.005,40.745,-73.985,40.735,19.825631492145302,2016-01-06 21:21:12
-74.005,40.745,-73.99,40.75,21.894477043311674,2016-01-06 22:59:22
-73.97500000000001,40.75,-73.97500000000001,40.755,8.188524590168123,2016-01-06 22:01:40
-73.97500000000001,40.75,-73.97500000000001,40.74,9.186206896549896,2016-01-06 21:08:01
-73.97500000000001,40.75,-73.99,40.755,17.57416217521921,2016-01-06 22:14:41
-73.97500000000001,40.75,-73.965,40.76,14.41029220495326,2016-01-06 21:01:10
-73.97500000000001,40.75,-73.97500000000001,40.745,4.1625000000021295,2016-01-06 22:33:01
-73.97500000000001,40.75,-73.985,40.745,10.692475411490685,2016-01-06 22:43:03
-73.97500000000001,40.75,-73.97,40.79,16.114227532177626,2016-01-06 21:51:34
-73.97500000000001,40.75,-73.995,40.765,14.711903343889981,2016-01-06 21:32:37
-73.97500000000001,40.75,-73.98,40.725,15.71506055831446,2016-01-06 23:40:44
-73.97500000000001,40.75,-73.955,40.775,18.99135824314083,2016-01-06 23:00:41
-73.97500000000001,40.75,-73.98,40.730000000000004,16.507158716995185,2016-01-06 21:26:55
-73.97500000000001,40.75,-74.005,40.735,19.032606232457468,2016-01-06 21:37:44
-73.97500000000001,40.75,-73.95,40.78,34.04228138359023,2016-01-06 23:16:44
-73.97500000000001,40.75,-73.98,40.775,13.806956343184874,2016-01-06 22:47:50
-73.97500000000001,40.75,-73.955,40.77,20.095602801443032,2016-01-06 21:02:31
-73.97500000000001,40.75,-73.985,40.765,11.849801797770851,2016-01-06 21:27:20
-73.97500000000001,40.755,-73.965,40.755,7.921760391202096,2016-01-06 23:23:49
-73.97500000000001,40.755,-73.995,40.715,20.032020404079258,2016-01-06 22:22:34
-73.97500000000001,40.755,-73.97500000000001,40.745,12.645569620259634,2016-01-06 21:31:18
-73.97500000000001,40.755,-73.98,40.745,6.737331862468126,2016-01-06 22:17:07
-73.97500000000001,40.755,-73.985,40.755,7.216035634737312,2016-01-06 23:11:05
-73.97500000000001,40.755,-73.99,40.745,9.404886455434726,2016-01-06 21:04:37
-73.97500000000001,40.755,-73.95,40.785000000000004,25.88187761721976,2016-01-06 21:26:48
-73.97500000000001,40.755,-73.99,40.75,8.488973328579231,2016-01-06 21:10:21
-73.97500000000001,40.755,-73.96000000000001,40.78,25.19147829972268,2016-01-06 23:07:58
-73.97500000000001,40.755,-73.98,40.76,11.745375153340659,2016-01-06 22:20:05
-73.97500000000001,40.755,-73.99,40.735,13.381542029153374,2016-01-06 21:56:33
