id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2634920,2,2016-01-05 06:04:59,2016-01-05 06:07:52,1,-74.005,40.735,-73.995,40.75,N,173
id1159511,1,2016-01-05 08:41:37,2016-01-05 08:52:41,1,-73.98,40.74,-74.0,40.730000000000004,N,664
id3891548,2,2016-01-05 07:55:32,2016-01-05 07:59:54,2,-73.97,40.755,-73.98,40.75,N,262
id0513843,2,2016-01-05 07:36:07,2016-01-05 07:42:53,5,-73.97500000000001,40.75,-73.97500000000001,40.74,N,406
id1108098,1,2016-01-05 08:05:43,2016-01-05 08:09:02,1,-74.005,40.725,-74.0,40.735,N,199
id3773660,1,2016-01-05 06:24:34,2016-01-05 06:42:50,1,-73.98,40.74,-73.825,40.745,N,1096
id2644446,1,2016-01-05 06:02:20,2016-01-05 06:04:58,1,-74.01,40.715,-74.01,40.72,N,158
id3088481,2,2016-01-05 07:55:23,2016-01-05 08:10:54,6,-74.01,40.725,-73.97500000000001,40.75,N,931
id3667953,2,2016-01-05 08:49:19,2016-01-05 09:00:02,1,-73.99,40.730000000000004,-74.005,40.745,N,643
id1680347,1,2016-01-05 08:04:02,2016-01-05 08:26:47,1,-73.965,40.76,-74.015,40.71,N,1365
id0101406,1,2016-01-05 07:17:19,2016-01-05 07:25:46,1,-73.99,40.75,-73.99,40.730000000000004,N,507
id2388104,1,2016-01-05 07:57:43,2016-01-05 08:04:58,1,-73.97500000000001,40.755,-73.985,40.735,N,435
id3208201,2,2016-01-05 08:12:49,2016-01-05 08:18:00,1,-73.96000000000001,40.77,-73.97,40.765,N,311
id0974275,1,2016-01-05 06:52:29,2016-01-05 07:13:09,1,-73.94500000000001,40.78,-73.965,40.81,N,1240
id1029872,1,2016-01-05 08:17:53,2016-01-05 08:32:54,1,-73.965,40.79,-73.98,40.775,N,901
id0433953,2,2016-01-05 07:45:43,2016-01-05 08:05:46,1,-74.015,40.71,-73.97500000000001,40.75,N,1203
id2235319,2,2016-01-05 08:26:49,2016-01-05 08:33:20,2,-73.98,40.75,-73.99,40.74,N,391
id1791909,2,2016-01-05 08:24:46,2016-01-05 08:41:26,1,-73.94,40.785000000000004,-73.92,40.83,N,1000
id3396961,1,2016-01-05 06:13:35,2016-01-05 06:19:52,1,-73.995,40.74,-73.97500000000001,40.76,N,377
id0026072,2,2016-01-05 08:20:57,2016-01-05 08:27:37,5,-73.99,40.730000000000004,-74.0,40.72,N,400
id0518026,2,2016-01-05 07:56:53,2016-01-05 08:00:40,1,-73.97500000000001,40.795,-73.98,40.785000000000004,N,227
id2499839,1,2016-01-05 07:26:24,2016-01-05 07:34:02,1,-73.995,40.75,-73.98,40.755,N,458
id1813989,2,2016-01-05 07:36:58,2016-01-05 07:42:44,1,-73.96000000000001,40.77,-73.97500000000001,40.76,N,346
id1271167,2,2016-01-05 08:01:50,2016-01-05 08:14:57,1,-73.965,40.765,-73.995,40.75,N,787
id2659623,2,2016-01-05 08:50:20,2016-01-05 08:51:43,3,-73.99,40.76,-73.985,40.765,N,83
id1558532,1,2016-01-05 06:51:55,2016-01-05 06:55:44,1,-73.97500000000001,40.755,-73.97,40.765,N,229
id0638647,1,2016-01-05 06:52:02,2016-01-05 07:04:07,1,-73.99,40.755,-73.96000000000001,40.765,N,725
