id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1942347,1,2016-01-04 18:17:20,2016-01-04 18:22:06,1,-73.965,40.765,-73.97,40.76,N,286
id0607198,1,2016-01-04 18:51:44,2016-01-04 19:04:23,2,-74.005,40.75,-73.995,40.735,N,759
id2786770,1,2016-01-04 18:10:03,2016-01-04 18:17:01,1,-74.0,40.755,-74.005,40.75,N,418
id0593078,2,2016-01-04 18:05:47,2016-01-04 18:11:12,1,-73.985,40.76,-74.0,40.75,N,325
id0240019,1,2016-01-04 18:29:36,2016-01-04 18:35:08,1,-73.99,40.685,-74.0,40.69,N,332
id0903245,2,2016-01-04 18:02:16,2016-01-04 18:09:54,1,-73.965,40.77,-73.985,40.775,N,458
id0279538,1,2016-01-04 18:08:37,2016-01-04 18:25:19,1,-73.965,40.765,-73.965,40.805,N,1002
id0170737,1,2016-01-04 20:40:54,2016-01-04 20:53:53,1,-74.0,40.730000000000004,-73.95,40.72,N,779
id3067887,2,2016-01-04 19:26:01,2016-01-04 19:39:18,6,-73.98,40.77,-73.985,40.74,N,797
id1343650,1,2016-01-04 20:17:32,2016-01-04 20:28:22,1,-73.97500000000001,40.75,-73.96000000000001,40.74,N,650
id0600215,2,2016-01-04 20:37:32,2016-01-04 20:47:03,1,-73.97,40.76,-73.95,40.78,N,571
id0393224,1,2016-01-04 18:20:40,2016-01-04 18:20:59,1,-73.995,40.72,-73.995,40.725,N,19
id3507378,1,2016-01-04 18:30:16,2016-01-04 18:35:17,1,-73.99,40.730000000000004,-74.0,40.74,N,301
id3596663,2,2016-01-04 20:06:37,2016-01-04 20:14:14,1,-74.005,40.715,-74.005,40.71,N,457
id0325703,1,2016-01-04 18:11:53,2016-01-04 18:24:33,1,-73.98,40.755,-74.0,40.745,N,760
id0775059,1,2016-01-04 20:43:52,2016-01-04 20:59:55,1,-73.995,40.74,-73.955,40.78,N,963
id1165627,2,2016-01-04 20:56:30,2016-01-04 21:31:49,1,-74.0,40.730000000000004,-73.98,40.61,N,2119
id1024498,1,2016-01-04 18:04:21,2016-01-04 18:12:24,1,-73.97500000000001,40.755,-73.96000000000001,40.765,N,483
id1715103,1,2016-01-04 20:56:04,2016-01-04 21:12:24,1,-74.01,40.745,-73.97500000000001,40.785000000000004,N,980
id2973768,2,2016-01-04 19:33:33,2016-01-04 19:38:23,1,-73.955,40.77,-73.96000000000001,40.765,N,290
id3017351,1,2016-01-04 20:56:35,2016-01-04 20:57:12,1,-73.995,40.76,-73.995,40.76,N,37
id3405312,1,2016-01-04 18:51:38,2016-01-04 18:58:23,1,-73.99,40.735,-73.97500000000001,40.74,N,405
id2832222,2,2016-01-04 19:43:17,2016-01-04 19:45:22,1,-73.965,40.765,-73.97,40.765,N,125
id3802104,2,2016-01-04 19:58:09,2016-01-04 20:13:43,1,-73.98,40.78,-73.94,40.825,N,934
id3768133,1,2016-01-04 20:09:42,2016-01-04 20:15:54,1,-73.97500000000001,40.745,-73.995,40.755,N,372
id3371731,1,2016-01-04 18:06:49,2016-01-04 18:20:53,1,-73.99,40.735,-73.98,40.72,N,844
id1882737,2,2016-01-04 18:53:26,2016-01-04 19:04:52,1,-73.98,40.765,-73.955,40.775,N,686
id3842574,1,2016-01-04 18:22:13,2016-01-04 19:16:52,1,-73.98,40.775,-73.78,40.7,N,3279
id2947575,1,2016-01-04 20:59:09,2016-01-04 21:04:34,1,-73.97500000000001,40.755,-73.965,40.755,N,325
id0048153,2,2016-01-04 19:22:32,2016-01-04 19:48:16,5,-73.985,40.775,-73.96000000000001,40.71,N,1544
id3292041,1,2016-01-04 19:49:38,2016-01-04 20:09:54,1,-73.96000000000001,40.715,-73.985,40.76,N,1216
id3753663,1,2016-01-04 18:27:15,2016-01-04 18:36:48,2,-73.995,40.75,-73.98,40.76,N,573
id1424464,2,2016-01-04 18:54:40,2016-01-04 19:07:02,1,-73.985,40.755,-73.965,40.765,N,742
id3574526,2,2016-01-04 20:32:07,2016-01-04 20:36:52,2,-73.985,40.755,-73.99,40.75,N,285
id0620728,2,2016-01-04 19:06:48,2016-01-04 19:15:04,1,-73.955,40.785000000000004,-73.965,40.765,N,496
id3726075,1,2016-01-04 20:21:47,2016-01-04 20:28:29,1,-73.955,40.77,-73.97500000000001,40.75,N,402
id3439400,2,2016-01-04 20:37:26,2016-01-04 20:49:17,1,-73.985,40.75,-74.005,40.745,N,711
id3437566,1,2016-01-04 18:50:58,2016-01-04 18:59:27,1,-74.005,40.705,-73.995,40.72,N,509
id2776194,2,2016-01-04 20:54:59,2016-01-04 21:09:51,5,-73.905,40.77,-73.965,40.795,N,892
id3871175,2,2016-01-04 18:39:32,2016-01-04 18:46:36,2,-73.98,40.735,-73.965,40.755,N,424
id3813008,2,2016-01-04 19:29:32,2016-01-04 19:38:48,5,-73.955,40.775,-73.98,40.775,N,556
id2528208,1,2016-01-04 20:25:45,2016-01-04 20:30:59,1,-73.99,40.75,-73.97500000000001,40.745,N,314
id1243748,1,2016-01-04 20:26:06,2016-01-04 20:33:15,2,-73.99,40.730000000000004,-74.0,40.730000000000004,N,429
id0605855,1,2016-01-04 20:39:41,2016-01-04 21:05:08,2,-74.005,40.730000000000004,-74.01,40.645,N,1527
id3635119,1,2016-01-04 20:05:12,2016-01-04 20:12:48,1,-73.955,40.78,-73.97500000000001,40.79,N,456
id2129155,2,2016-01-04 19:20:20,2016-01-04 19:24:48,1,-73.99,40.74,-73.985,40.75,N,268
id2838926,1,2016-01-04 20:21:26,2016-01-04 20:59:16,2,-73.785,40.645,-73.96000000000001,40.775,N,2270
id2895801,2,2016-01-04 18:44:44,2016-01-04 18:52:13,1,-73.97,40.76,-73.96000000000001,40.77,N,449
id2524847,2,2016-01-04 20:33:51,2016-01-04 20:42:06,5,-73.97,40.76,-73.99,40.75,N,495
id2043313,2,2016-01-04 19:31:14,2016-01-04 19:41:27,6,-73.995,40.75,-73.98,40.775,N,613
id0600302,1,2016-01-04 19:04:00,2016-01-04 19:07:36,1,-73.99,40.75,-73.98,40.745,N,216
id1600235,2,2016-01-04 19:36:56,2016-01-04 19:47:05,3,-74.01,40.74,-73.97500000000001,40.795,N,609
id0890925,2,2016-01-04 19:21:38,2016-01-04 19:29:20,1,-74.005,40.75,-73.985,40.74,N,462
id1688311,2,2016-01-04 19:22:00,2016-01-04 19:28:45,1,-73.98,40.745,-73.99,40.75,N,405
id2582828,2,2016-01-04 19:27:43,2016-01-04 19:28:58,5,-73.985,40.715,-73.99,40.715,N,75
id3407648,2,2016-01-04 19:38:09,2016-01-04 19:40:45,1,-73.99,40.77,-73.985,40.775,N,156
id1630762,1,2016-01-04 20:33:09,2016-01-04 20:55:43,1,-73.985,40.745,-73.97,40.68,N,1354
id2266393,2,2016-01-04 19:24:50,2016-01-04 19:27:03,2,-73.96000000000001,40.775,-73.965,40.775,N,133
id1584723,2,2016-01-04 19:03:48,2016-01-04 19:09:16,1,-73.98,40.76,-73.995,40.755,N,328
id2759063,2,2016-01-04 20:06:23,2016-01-04 20:11:54,5,-73.97,40.755,-73.98,40.74,N,331
id3314555,2,2016-01-04 20:38:47,2016-01-04 20:44:07,1,-73.97500000000001,40.74,-73.985,40.75,N,320
id1043595,1,2016-01-04 19:30:42,2016-01-04 19:35:35,1,-73.985,40.75,-73.995,40.735,N,293
id1300264,1,2016-01-04 19:37:06,2016-01-04 20:01:59,1,-74.01,40.705,-73.865,40.825,N,1493
id2869681,2,2016-01-04 20:39:49,2016-01-04 20:52:18,1,-73.955,40.69,-74.005,40.71,N,749
id3561884,1,2016-01-04 18:43:13,2016-01-04 18:55:32,1,-73.99,40.72,-74.0,40.74,N,739
id2466773,2,2016-01-04 18:03:09,2016-01-04 18:22:33,5,-73.985,40.75,-73.95,40.765,N,1164
id2751478,1,2016-01-04 18:36:30,2016-01-04 18:43:58,1,-73.98,40.765,-74.0,40.76,N,448
